,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,cape town,-33.93,18.42,288.15,93,75,1,ZA,1595726445
1,hithadhoo,-0.6,73.08,301.37,66,100,1.57,MV,1595727263
2,ushuaia,-54.8,-68.3,272.15,92,20,7.7,AR,1595727185
3,hasaki,35.73,140.83,301.48,88,75,3.1,JP,1595727265
4,opuwo,-18.06,13.84,281.11,59,40,1.16,NA,1595727267
5,pangnirtung,66.15,-65.71,283.1,76,10,1.11,CA,1595727268
6,fukue,32.69,128.84,297.15,100,75,2.6,JP,1595727269
7,marsa matruh,31.35,27.25,295.15,83,0,3.69,EG,1595727270
8,rikitea,-23.12,-134.97,294.53,80,18,9.36,PF,1595727271
9,punta arenas,-53.15,-70.92,269.15,85,49,5.1,CL,1595727272
10,kruisfontein,-34.0,24.73,285.42,95,1,5.37,ZA,1595727273
11,mataura,-46.19,168.86,284.61,68,42,2.7,NZ,1595727274
12,agadez,19.75,10.25,302.61,15,1,3.5,NE,1595727276
13,bluff,-46.6,168.33,284.02,77,53,9.08,NZ,1595727277
14,bonthe,7.53,-12.51,297.05,86,97,4.01,SL,1595727278
15,ketchikan,55.34,-131.65,287.15,100,90,5.1,US,1595727279
16,saldanha,-33.01,17.94,287.15,87,60,1.5,ZA,1595727281
17,upernavik,72.79,-56.15,280.05,91,100,9.29,GL,1595727282
18,yellowknife,62.46,-114.35,295.37,35,20,3.6,CA,1595727283
19,aksarka,66.56,67.8,286.71,73,100,3.91,RU,1595727285
20,nantucket,41.28,-70.1,295.37,94,1,3.1,US,1595727286
21,clyde river,70.47,-68.59,283.15,81,1,2.6,CA,1595727287
22,norman wells,65.28,-126.83,296.15,40,90,1.5,CA,1595727288
23,road town,18.42,-64.62,302.04,84,0,6.71,VG,1595727207
24,kamaishi,39.27,141.88,297.15,88,75,4.1,JP,1595727290
25,barrow,71.29,-156.79,278.15,80,90,3.1,US,1595727153
26,busselton,-33.65,115.33,287.59,84,0,4.03,AU,1595727293
27,faanui,-16.48,-151.75,298.87,79,34,6.96,PF,1595727294
28,saint-augustin,51.23,-58.65,289.62,87,97,0.22,CA,1595727295
29,pisco,-13.7,-76.22,290.15,82,90,2.6,PE,1595727296
30,areosa,41.72,-8.86,293.15,100,75,3.86,PT,1595727297
31,hilo,19.73,-155.09,303.15,62,75,5.1,US,1595727298
32,conakry,9.54,-13.68,298.15,88,75,2.1,GN,1595727299
33,san ignacio,17.16,-89.07,300.93,100,75,2.1,BZ,1595727300
34,shubarkuduk,49.14,56.49,292.83,60,100,3.98,KZ,1595727302
35,kutum,14.2,24.67,299.16,50,19,3.54,SD,1595727303
36,vaini,-21.2,-175.2,297.15,69,40,5.1,TO,1595727304
37,teluk nibung,3.0,99.82,300.47,79,59,4.34,ID,1595727305
38,warwick,41.7,-71.42,300.15,61,20,3.6,US,1595727306
39,hobart,-42.88,147.33,284.82,66,0,2.6,AU,1595727269
40,severo-kurilsk,50.68,156.12,285.31,77,100,5.6,RU,1595727309
41,leningradskiy,69.38,178.42,284.51,73,41,3.53,RU,1595727311
42,tocopilla,-22.09,-70.2,287.94,61,0,0.34,CL,1595727312
43,dongzhen,22.38,110.94,304.85,65,99,3,CN,1595727313
44,saint-pierre,-21.34,55.48,290.15,63,20,2.6,RE,1595727227
45,zenzeli,45.92,47.05,295.93,34,0,4.99,RU,1595727315
46,diamantino,-14.41,-56.45,292.85,51,0,2.26,BR,1595727316
47,sergeyevka,53.88,67.42,289.44,76,67,0.28,KZ,1595727317
48,san lorenzo,-25.33,-57.53,283.15,71,100,1.5,PY,1595727152
49,dikson,73.51,80.55,277.08,93,100,7.43,RU,1595727325
50,cabo san lucas,22.89,-109.91,304.82,69,5,9.3,MX,1595727061
51,khatanga,71.97,102.5,278.55,78,100,6.41,RU,1595727330
52,faya,18.39,42.45,296.15,60,96,0.51,SA,1595727331
53,lebu,-37.62,-73.65,284.64,94,100,9.01,CL,1595727332
54,butaritari,3.07,172.79,301.8,75,0,6.45,KI,1595727333
55,juegang,32.32,121.19,298.41,73,100,2.59,CN,1595727334
56,uvira,-3.41,29.15,294.55,53,14,0.29,CD,1595727337
57,surazh,53.02,32.39,287.54,87,67,3.42,RU,1595727339
58,longyearbyen,78.22,15.64,292.15,63,3,4.6,SJ,1595727277
59,lazaro cardenas,17.96,-102.2,300.45,77,35,1.51,MX,1595727341
60,adoni,15.63,77.28,297.21,80,74,5.35,IN,1595727342
61,umm bab,25.21,50.81,307.59,63,1,3.1,QA,1595727343
62,bella vista,36.43,-94.23,302.15,66,20,5.1,US,1595727326
63,new norfolk,-42.78,147.06,282.59,85,0,0.89,AU,1595727347
64,hamilton,39.18,-84.53,301.48,78,1,1.28,US,1595727286
65,talcahuano,-36.72,-73.12,285.15,93,90,4.6,CL,1595727349
66,chokurdakh,70.63,147.92,305.72,24,0,7.24,RU,1595727350
67,lagoa,39.05,-27.98,295.03,88,0,7.78,PT,1595727351
68,luangwa,-15.62,30.42,288.23,82,4,2.27,ZM,1595727352
69,batagay-alyta,67.8,130.41,296.9,36,0,6.41,RU,1595727354
70,thompson,55.74,-97.86,298.15,53,40,1.5,CA,1595727110
71,albany,42.6,-73.97,297.59,49,0,1.89,US,1595727240
72,pionerskiy,54.95,20.23,285.15,93,40,1,RU,1595727357
73,vestmannaeyjar,63.44,-20.27,283.95,77,100,1.83,IS,1595727358
74,hutchinson,38.06,-97.93,304.15,55,1,5.1,US,1595727128
75,san cristobal,7.77,-72.22,291.63,90,50,0.8,VE,1595727360
76,acapulco,16.86,-99.89,302.15,74,75,2.1,MX,1595727361
77,narsaq,60.92,-46.05,281.15,93,100,1.51,GL,1595727363
78,jamestown,42.1,-79.24,294.15,77,1,1.5,US,1595727123
79,birjand,32.87,59.22,294.15,30,0,2.1,IR,1595727366
80,mount isa,-20.73,139.5,292.15,26,0,6.7,AU,1595727367
81,am timan,11.03,20.28,295.53,94,100,2.66,TD,1595727369
82,hambantota,6.12,81.12,298.15,100,90,2.1,LK,1595727371
83,cidreira,-30.18,-50.21,283.83,70,32,5.39,BR,1595727302
84,dorverden,52.85,9.23,291.48,88,100,5.1,DE,1595727373
85,skelleftea,64.75,20.95,283.15,100,30,1.5,SE,1595727374
86,atuona,-9.8,-139.03,299.73,73,2,9.61,PF,1595727375
87,praya,14.92,-23.51,300.15,78,40,2.1,CV,1595727376
88,okmulgee,35.62,-95.96,304.15,58,1,2.1,US,1595727378
89,carnarvon,-24.87,113.63,292.15,42,0,3.6,AU,1595727124
90,los llanos de aridane,28.66,-17.92,295.15,73,90,5.7,ES,1595727137
91,kapaa,22.08,-159.32,300.93,83,75,7.2,US,1595727382
92,chodavaram,17.83,82.95,300.15,94,40,1.5,IN,1595727383
93,saskylakh,71.92,114.08,275.13,92,100,10.66,RU,1595727384
94,beira,-19.84,34.84,293.15,77,20,4.1,MZ,1595727385
95,poso,-1.4,120.75,301.92,60,67,1.52,ID,1595727387
96,bari,41.12,16.85,294.82,77,0,4.6,IT,1595727389
97,naze,28.37,129.48,303.15,79,75,8.2,JP,1595727390
98,arraial do cabo,-22.97,-42.03,295.15,83,0,5.7,BR,1595727391
99,airai,-8.93,125.41,294.31,54,78,2.43,TL,1595727393
100,wainwright,52.84,-110.86,289.36,84,0,4.41,CA,1595727394
101,yerbogachen,61.28,108.01,290.14,65,7,3.38,RU,1595727395
102,newport,51.59,-3.0,287.04,92,0,5.7,GB,1595727145
103,tasiilaq,65.61,-37.64,280.15,81,100,5.1,GL,1595727397
104,codrington,-38.27,141.97,284.53,68,0,1.71,AU,1595727399
105,nemuro,43.32,145.57,289.15,87,75,1,JP,1595727400
106,aktau,43.65,51.2,296.15,46,0,5,KZ,1595727401
107,rio verde de mato grosso,-18.92,-54.84,293.17,58,0,2.84,BR,1595727402
108,roald,62.58,6.13,285.15,87,100,4.6,NO,1595727403
109,praia,14.92,-23.51,300.15,78,40,2.1,CV,1595727404
110,buin,-33.73,-70.75,281.15,75,75,2.1,CL,1595727405
111,fairbanks,64.84,-147.72,292.15,59,90,1.5,US,1595727246
112,christchurch,-43.53,172.63,287.04,54,31,1,NZ,1595727408
113,nome,64.5,-165.41,287.59,66,20,3.6,US,1595727409
114,souillac,-20.52,57.52,294.15,56,75,5.1,MU,1595727410
115,atherton,53.52,-2.49,287.04,90,70,0.45,GB,1595727269
116,adolfo lopez mateos,28.47,-107.3,290.37,88,100,3.13,MX,1595727412
117,paita,-5.09,-81.11,290.89,83,15,5.51,PE,1595727413
118,abu dhabi,24.47,54.37,306.15,63,0,2.1,AE,1595727417
119,saint-leu,-21.15,55.28,293.15,63,20,2.6,RE,1595727418
120,nikki,9.94,3.21,294.3,95,7,1.8,BJ,1595727419
121,nouadhibou,20.93,-17.03,294.15,94,90,9.3,MR,1595727420
122,nadvoitsy,63.87,34.32,286.73,82,100,3.07,RU,1595727421
123,cedar city,37.68,-113.06,301.15,20,1,3.1,US,1595727158
124,kaset sombun,16.28,101.95,303.21,63,92,1.58,TH,1595727423
125,teseney,15.11,36.66,297.26,76,96,4.06,ER,1595727424
126,aklavik,68.22,-135.01,289.15,67,75,3.6,CA,1595727426
127,okato,-39.2,173.88,285.93,72,2,2.24,NZ,1595727427
128,gao,16.64,1.64,305.18,41,0,2.82,ML,1595727428
129,tuktoyaktuk,69.45,-133.04,283.15,87,90,3.1,CA,1595727429
130,iskateley,67.68,53.15,290.84,72,51,2.47,RU,1595727430
131,jalu,29.03,21.55,298.27,38,0,3.5,LY,1595727431
132,tieli,46.95,128.05,302.28,53,9,1.14,CN,1595727432
133,homer,59.64,-151.55,286.15,87,90,3.1,US,1595727433
134,karratha,-20.74,116.85,295.79,25,99,10.15,AU,1595727289
135,san felipe,10.34,-68.74,295.11,90,100,0.3,VE,1595727436
136,kodiak,57.79,-152.41,286.15,82,75,3.6,US,1595727437
137,lorengau,-2.02,147.27,301.33,76,100,7.28,PG,1595727438
138,vernon,50.26,-119.27,298.15,33,1,7.7,CA,1595727439
139,mount pleasant,32.79,-79.86,299.82,100,1,2.63,US,1595727440
140,kayasula,44.33,45.0,296.21,79,95,4.98,RU,1595727441
141,japura,-0.32,102.35,299.76,78,92,2.43,ID,1595727442
142,buala,-8.14,159.59,299.79,84,100,5.05,SB,1595727444
143,nkhotakota,-12.93,34.3,292.1,78,100,6.25,MW,1595727445
144,martapura,-3.42,114.85,300.15,83,3,2.6,ID,1595727446
145,berdigestyakh,62.1,126.7,294.42,46,0,3.85,RU,1595727447
146,mogadishu,2.04,45.34,298.02,83,27,8.18,SO,1595727361
147,avarua,-21.21,-159.78,296.15,69,100,3.6,CK,1595727449
148,senno,59.53,33.92,284.5,98,25,2.43,RU,1595727450
149,duluth,46.78,-92.11,301.48,78,75,2.6,US,1595727169
150,sobolevo,54.43,31.9,285.85,95,9,2.86,RU,1595727454
151,balabac,7.99,117.06,302.89,65,21,2.52,PH,1595727455
152,butterworth,5.4,100.36,301.15,83,20,2.1,MY,1595727456
153,ilulissat,69.22,-51.1,280.15,93,100,5.1,GL,1595727458
154,aromashevo,56.86,68.64,286.85,74,0,2.61,RU,1595727459
155,port elizabeth,-33.92,25.57,288.15,82,0,8.2,ZA,1595727460
156,lampang,18.33,99.5,305.37,62,99,0.33,TH,1595727461
157,bereda,43.27,-7.54,290.37,99,85,0.45,ES,1595727462
158,kailua,21.4,-157.74,301.15,69,90,5.7,US,1595727463
159,port keats,-14.25,129.55,301.57,24,1,6.6,AU,1595727464
160,anadyr,64.75,177.48,295.15,68,0,2,RU,1595727466
161,sitka,57.05,-135.33,287.15,87,90,3.6,US,1595727184
162,torbay,47.67,-52.73,288.15,93,40,2.6,CA,1595727313
163,east london,-33.02,27.91,295.01,29,0,6.07,ZA,1595727469
164,kolyvan,55.31,82.74,287.15,100,40,2.08,RU,1595727470
165,alice springs,-23.7,133.88,288.15,51,0,6.2,AU,1595727369
166,sur,22.57,59.53,303.66,62,100,2.22,OM,1595727473
167,bambous virieux,-20.34,57.76,294.26,56,75,5.1,MU,1595727475
168,havre,49.58,0.33,290.15,93,90,7.2,FR,1595727477
169,nizwa,22.93,57.53,301.52,58,93,1.34,OM,1595727478
170,preobrazheniye,42.9,133.91,293.56,69,92,7.14,RU,1595727479
171,dakar,14.69,-17.44,300.15,83,20,2.1,SN,1595727036
172,colares,38.8,-9.45,292.04,96,0,10.6,PT,1595727482
173,warmbad,-28.45,18.73,285.68,39,0,0.94,NA,1595727484
174,vila velha,-20.33,-40.29,293.15,94,40,1,BR,1595727487
175,bredasdorp,-34.53,20.04,288.15,87,100,3.6,ZA,1595727488
176,mar del plata,-38.0,-57.56,280.93,87,100,6.2,AR,1595727269
177,coquimbo,-29.95,-71.34,286.15,58,100,3.6,CL,1595727491
178,castro,-24.79,-50.01,285.94,88,99,1.06,BR,1595727492
179,tommot,58.96,126.29,296.47,47,4,1.89,RU,1595727494
180,sorata,-15.77,-68.63,279.25,80,100,2.29,BO,1595727495
181,ponta do sol,32.67,-17.1,294.15,73,20,11.3,PT,1595727496
182,domokos,39.13,22.3,295.93,78,20,0.91,GR,1595727497
183,port augusta,-32.5,137.77,288.71,93,90,0.5,AU,1595727498
184,wadi musa,30.32,35.48,294.14,32,10,1.03,JO,1595727499
185,yamada,39.47,141.95,296.3,83,100,1.6,JP,1595727500
186,saint-philippe,-21.36,55.77,293.15,63,20,2.6,RE,1595727501
187,port alfred,-33.59,26.89,290.13,49,0,5.13,ZA,1595727502
