,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,honningsvag,70.98,25.97,286.41,86,0,7.7,NO,1595644359
1,grand-lahou,5.14,-5.02,296.56,90,77,4.36,CI,1595644360
2,ende,-8.84,121.66,300.51,54,86,3.25,ID,1595644361
3,esperance,-33.87,121.9,283.15,87,78,10.3,AU,1595644362
4,hobart,-42.88,147.33,285.93,57,75,4.6,AU,1595644202
5,rikitea,-23.12,-134.97,293.43,76,0,8.94,PF,1595644364
6,airai,-8.93,125.41,295.34,42,64,2.44,TL,1595644365
7,walvis bay,-22.96,14.51,292.15,22,0,4.1,NA,1595644367
8,thompson,55.74,-97.86,294.15,94,75,2.6,CA,1595644368
9,roma,43.21,-75.46,295.15,78,1,1.5,US,1595644369
10,bengkulu,-3.8,102.27,300.35,73,84,1.84,ID,1595644071
11,chokurdakh,70.63,147.92,300.33,35,54,1.82,RU,1595644371
12,tiksi,71.69,128.87,283.17,87,43,4.69,RU,1595644374
13,avarua,-21.21,-159.78,296.15,73,99,3.6,CK,1595644356
14,clyde river,70.47,-68.59,277.15,100,1,3.1,CA,1595644376
15,touros,-5.2,-35.46,295.15,88,59,2.1,BR,1595644377
16,mabaruma,8.2,-59.78,296.85,89,67,0.78,GY,1595644378
17,shepsi,44.04,39.15,295.5,63,37,3.6,RU,1595644380
18,eureka,40.8,-124.16,290.37,79,2,0.89,US,1595644381
19,nikolskoye,59.7,30.79,285.15,87,75,3.0,RU,1595644382
20,arkansas city,37.06,-97.04,303.71,66,1,3.1,US,1595644383
21,mar del plata,-38.0,-57.56,278.71,70,40,6.7,AR,1595644385
22,saint-philippe,-21.36,55.77,290.15,77,90,7.7,RE,1595644387
23,komsomolskiy,40.43,71.72,297.15,53,0,2.1,UZ,1595644388
24,at-bashi,41.17,75.81,291.91,46,52,0.68,KG,1595644390
25,mataura,-46.19,168.86,282.27,84,100,2.95,NZ,1595644391
26,sechura,-5.56,-80.82,291.22,78,62,6.64,PE,1595644392
27,jamestown,42.1,-79.24,295.15,83,75,3.1,US,1595644394
28,atuona,-9.8,-139.03,299.48,78,25,7.87,PF,1595644395
29,grand baie,-20.02,57.58,290.93,74,34,2.24,MU,1595644396
30,punta arenas,-53.15,-70.92,275.15,91,100,5.7,CL,1595644397
31,butaritari,3.07,172.79,301.65,75,30,8.26,KI,1595644398
32,korla,41.76,86.15,302.54,24,0,3.7,CN,1595644399
33,new norfolk,-42.78,147.06,285.93,77,100,0.73,AU,1595644401
34,castro,-24.79,-50.01,285.89,72,0,2.07,BR,1595644402
35,opuwo,-18.06,13.84,283.6,46,0,3.71,NA,1595644403
36,vagur,61.47,-6.81,284.56,95,100,8.85,FO,1595644404
37,hami,42.8,93.45,302.24,27,0,1.38,CN,1595644405
38,bluff,-46.6,168.33,283.75,78,100,7.75,NZ,1595644407
39,huntington,38.42,-82.45,299.26,74,1,0.91,US,1595644401
40,barrow,71.29,-156.79,275.15,80,90,5.1,US,1595644409
41,nanortalik,60.14,-45.24,280.21,91,100,1.41,GL,1595644410
42,capreol,46.71,-80.92,295.15,56,20,3.6,CA,1595644281
43,sault sainte marie,46.52,-84.33,295.15,60,1,2.1,CA,1595644412
44,khatanga,71.97,102.5,279.93,81,98,6.51,RU,1595644415
45,yima,34.74,111.88,296.08,74,100,0.12,CN,1595644416
46,luba,3.46,8.55,297.77,84,61,3.28,GQ,1595644417
47,isangel,-19.55,169.27,301.15,69,75,5.7,VU,1595644418
48,rahden,52.43,8.62,289.26,87,14,1.5,DE,1595644419
49,wanning,18.8,110.4,305.52,60,42,4.21,CN,1595644421
50,saint anthony,45.02,-93.22,303.15,66,40,4.6,US,1595644404
51,chernyshevskiy,63.01,112.47,287.99,72,80,6.33,RU,1595644424
52,olafsvik,64.89,-23.71,280.61,76,51,5.49,IS,1595644425
53,saint-pierre,-21.34,55.48,290.15,77,90,7.7,RE,1595644426
54,deer lake,49.17,-57.43,286.75,92,2,1.95,CA,1595644324
55,puerto ayora,-0.74,-90.35,293.15,95,61,2.24,EC,1595644131
56,bredasdorp,-34.53,20.04,279.15,93,0,2.6,ZA,1595644430
57,cidreira,-30.18,-50.21,288.03,89,100,5.08,BR,1595644431
58,evensk,61.95,159.23,288.98,69,0,4.99,RU,1595644432
59,misawa,40.68,141.36,293.15,100,90,5.1,JP,1595644433
60,sao joao da barra,-21.64,-41.05,295.07,82,0,7.2,BR,1595644434
61,haines junction,60.75,-137.51,287.16,56,86,3.84,CA,1595644436
62,cape town,-33.93,18.42,283.15,66,0,2.6,ZA,1595644438
63,newala,-10.94,39.28,287.69,95,15,1.23,TZ,1595644439
64,rabo de peixe,37.8,-25.58,291.15,82,75,1.0,PT,1595644440
65,kidal,18.44,1.41,303.22,42,63,4.22,ML,1595644441
66,chuy,-33.7,-53.46,281.16,89,99,5.65,UY,1595644442
67,arraial do cabo,-22.97,-42.03,295.15,82,0,11.44,BR,1595644443
68,rawson,-43.3,-65.1,278.89,65,0,9.14,AR,1595644444
69,bambous virieux,-20.34,57.76,293.15,52,75,8.2,MU,1595644446
70,hilo,19.73,-155.09,300.15,78,90,2.59,US,1595644447
71,maldonado,-34.67,-54.92,281.15,81,75,3.1,UY,1595644448
72,guerrero negro,27.98,-114.06,291.7,84,0,6.2,MX,1595644449
